year,quarter,SVENY0025,SVENY0050,SVENY0075,SVENY0100,SVENY0200,SVENY0300,SVENY0500,SVENY0700,SVENY1000,SVENY1500,SVENY2000,SVENY3000
1985,4,7.3248,7.5212,7.7021,7.8696,8.4202,8.8221,9.3389,9.6426,9.9393,10.3541,10.7921,10.3993
1986,1,7.2013,7.2985,7.3877,7.4705,7.7463,7.9577,8.2673,8.4951,8.7593,9.0804,9.3005,9.5605
1986,2,6.2531,6.4141,6.5568,6.6846,7.0708,7.3174,7.587,7.7237,7.8506,8.006,8.1236,8.2709
1986,3,5.6155,5.7809,5.9299,6.0655,6.4961,6.8013,7.2035,7.4661,7.7424,8.0463,8.2376,8.4487
1986,4,5.5048,5.6338,5.7513,5.8597,6.2217,6.5075,6.9506,7.2876,7.6581,8.0389,8.2544,8.4767
1987,1,5.7944,5.8871,5.97,6.0454,6.2935,6.4931,6.8279,7.1077,7.4343,7.7786,7.9733,8.1729
1987,2,6.1583,6.4826,6.7267,6.9175,7.3721,7.6239,7.9642,8.2056,8.4444,8.6586,8.7699,8.8818
1987,3,6.4665,6.7355,6.9576,7.1454,7.6642,7.9861,8.4003,8.674,8.9409,9.1818,9.3076,9.4341
1987,4,6.5474,6.9131,7.1748,7.3788,7.9065,8.2419,8.6809,8.9494,9.1798,9.3375,9.3688,9.3084
1988,1,6.2732,6.5075,6.6918,6.8422,7.237,7.4869,7.8817,8.2275,8.624,8.8998,8.8024,8.0908
1988,2,6.5417,6.887,7.1364,7.325,7.7524,7.9894,8.3615,8.6862,9.0484,9.2973,9.2281,8.6748
1988,3,7.4335,7.7043,7.8885,8.0243,8.3052,8.435,8.6513,8.8771,9.1581,9.372,9.3292,8.8806
1988,4,8.0651,8.2703,8.386,8.4537,8.5344,8.5615,8.6597,8.7792,8.9162,8.9938,8.9421,8.686
1989,1,8.9389,9.1142,9.201,9.2412,9.2285,9.1808,9.1324,9.1007,9.041,8.9216,8.8096,8.6453
1989,2,8.8454,8.9132,8.9173,8.8967,8.7853,8.7265,8.6916,8.6785,8.6527,8.593,8.5308,8.4292
1989,3,8.1798,8.1791,8.1309,8.076,7.9404,7.9136,7.9542,8.0091,8.0664,8.0945,8.0711,7.9708
1989,4,8.0121,7.9696,7.8916,7.8277,7.7315,7.7395,7.8024,7.8521,7.8901,7.8994,7.8829,7.8393
1990,1,8.078,8.0795,8.0856,8.1048,8.1998,8.2625,8.3212,8.3456,8.3628,8.3742,8.3768,8.3726
1990,2,8.0677,8.0844,8.1424,8.2096,8.3925,8.4758,8.5474,8.5787,8.5993,8.6032,8.5877,8.5291
1990,3,7.7445,7.7434,7.7732,7.814,7.9874,8.1341,8.362,8.5318,8.7082,8.8459,8.8411,8.5647
1990,4,7.2057,7.2567,7.3063,7.3549,7.5372,7.7017,7.9819,8.2039,8.4433,8.6423,8.6559,8.3384
1991,1,6.2083,6.3447,6.4685,6.5823,6.9571,7.2401,7.6364,7.8976,8.1474,8.3392,8.346,8.0282
1991,2,5.6974,5.9331,6.1387,6.3213,6.8761,7.2524,7.7323,8.0263,8.2898,8.4647,8.4487,8.159
1991,3,5.4564,5.6364,5.8039,5.9609,6.4935,6.9058,7.4809,7.8381,8.1369,8.3159,8.3207,8.1579
1991,4,4.5484,4.6994,4.8447,4.985,5.497,5.9384,6.6438,7.1591,7.6687,8.058,8.1211,7.8617
1992,1,3.8372,4.0874,4.3223,4.5439,5.3059,5.9029,6.7351,7.2405,7.6451,7.8873,7.9624,8.133
1992,2,3.5902,3.8604,4.1144,4.3543,5.1807,5.8282,6.7254,7.2615,7.6807,7.9396,8.0585,8.3308
1992,3,2.9937,3.181,3.3624,3.5386,4.1903,4.7643,5.7077,6.4213,7.1541,7.7487,7.8757,7.5831
1992,4,3.1022,3.3118,3.5194,3.7232,4.4741,5.1027,6.0247,6.6258,7.179,7.6407,7.8394,7.9468
1993,1,3.0773,3.2149,3.3612,3.5123,4.1223,4.6815,5.5564,6.1462,6.6911,7.1582,7.3973,7.6371
1993,2,3.0553,3.1891,3.3242,3.4592,3.9832,4.4591,5.2335,5.797,6.3656,6.9027,7.1961,7.4982
1993,3,3.1058,3.2411,3.3717,3.498,3.9586,4.3527,4.9741,5.427,5.8979,6.3669,6.6361,6.9224
1993,4,3.1587,3.3085,3.4494,3.5826,4.0478,4.4273,5.008,5.4286,5.8716,6.3212,6.5807,6.8543
1994,1,3.4341,3.6408,3.826,3.9944,4.537,4.9416,5.5198,5.9171,6.3174,6.7024,6.9153,7.1348
1994,2,4.2686,4.6104,4.8926,5.1316,5.7884,6.179,6.6359,6.9227,7.2231,7.5169,7.6255,7.5216
1994,3,4.7238,5.061,5.3335,5.5591,6.1504,6.4892,6.894,7.1562,7.4299,7.7011,7.8247,7.8308
1994,4,5.5046,6.0198,6.3417,6.5728,7.0764,7.3142,7.5521,7.6887,7.8335,7.9928,8.0758,8.0932
1995,1,5.9667,6.2933,6.5082,6.6689,7.0177,7.1634,7.2926,7.3776,7.4884,7.6249,7.7096,7.8004
1995,2,5.7919,5.8369,5.8794,5.9193,6.0526,6.1542,6.314,6.4584,6.6691,6.9646,7.137,7.1214
1995,3,5.5413,5.5883,5.6311,5.6705,5.8004,5.9015,6.0654,6.2139,6.4293,6.736,6.9227,6.9176
1995,4,5.4578,5.4501,5.4367,5.432,5.4653,5.5254,5.658,5.7896,5.9744,6.2297,6.4061,6.5442
1996,1,5.1035,5.0964,5.1048,5.1219,5.2279,5.3454,5.5681,5.7719,6.0384,6.3602,6.536,6.5794
1996,2,5.1556,5.3636,5.534,5.6762,6.0444,6.2357,6.4381,6.5882,6.8007,7.0675,7.1793,7.0497
1996,3,5.2663,5.4779,5.6434,5.7776,6.1134,6.2863,6.4722,6.6077,6.7941,7.0319,7.1472,7.0909
1996,4,5.2361,5.3454,5.4363,5.5142,5.7374,5.8795,6.0629,6.2025,6.394,6.6592,6.809,6.7633
1997,1,5.3295,5.4626,5.5775,5.6777,5.9625,6.1284,6.3056,6.4236,6.5969,6.8596,7.0023,6.8877
1997,2,5.4369,5.6101,5.7544,5.8763,6.1937,6.3514,6.4917,6.5855,6.7387,6.9655,7.0689,6.9258
1997,3,5.3853,5.4908,5.5755,5.6464,5.8374,5.9452,6.0703,6.1694,6.3198,6.5335,6.6396,6.5366
1997,4,5.4566,5.5191,5.5661,5.6032,5.6918,5.7366,5.796,5.8605,5.9751,6.1503,6.2444,6.1722
1998,1,5.4014,5.4017,5.4023,5.4031,5.4109,5.4263,5.4806,5.5587,5.6942,5.8917,5.9957,5.9178
1998,2,5.3147,5.3998,5.4494,5.48,5.521,5.5283,5.5521,5.6042,5.7057,5.8549,5.9358,5.9166
1998,3,5.1796,5.1793,5.1764,5.1721,5.1492,5.132,5.1388,5.1954,5.3277,5.5404,5.6523,5.5645
1998,4,4.616,4.5833,4.5553,4.5312,4.4718,4.4602,4.5344,4.6826,4.9482,5.3247,5.5182,5.4119
1999,1,4.6444,4.707,4.755,4.7923,4.8719,4.9051,4.9788,5.1072,5.3458,5.6587,5.7689,5.527
1999,2,4.7087,4.8395,4.9458,5.0336,5.2523,5.359,5.4842,5.6133,5.8276,6.09,6.1508,5.8238
1999,3,4.9856,5.1436,5.2663,5.3636,5.5878,5.693,5.8407,5.9982,6.2194,6.4198,6.4067,6.0252
1999,4,5.2913,5.4819,5.6175,5.7159,5.8956,5.9547,6.0693,6.2284,6.4505,6.6271,6.5856,6.1821
2000,1,5.7438,5.9818,6.1442,6.2573,6.4419,6.4793,6.5123,6.55,6.5776,6.5269,6.4082,6.1366
2000,2,6.0367,6.2874,6.4223,6.4922,6.4996,6.4272,6.3535,6.3346,6.3159,6.2502,6.158,5.9756
2000,3,6.2647,6.3141,6.3193,6.3019,6.1685,6.0664,5.9949,5.9984,6.0224,6.0205,5.9685,5.8079
2000,4,6.2906,6.1997,6.0972,5.9968,5.6993,5.5622,5.5261,5.5942,5.7142,5.8351,5.8541,5.7229
2001,1,5.0133,4.8627,4.7619,4.6938,4.6133,4.6646,4.8608,5.0608,5.3055,5.5607,5.6718,5.6505
2001,2,3.8589,3.8152,3.8559,3.9251,4.2312,4.4898,4.9,5.2139,5.5523,5.8663,5.9788,5.9023
2001,3,3.3676,3.2625,3.2766,3.3408,3.7157,4.0534,4.5656,4.9384,5.3282,5.6798,5.8004,5.7064
2001,4,2.013,1.9738,2.0679,2.218,2.9,3.4438,4.1879,4.686,5.178,5.592,5.7133,5.562
2002,1,1.8394,1.8769,2.0585,2.2904,3.1809,3.8015,4.5707,5.0511,5.5042,5.8626,5.9507,5.7867
2002,2,1.8051,1.8687,2.0751,2.3222,3.2019,3.7884,4.5251,5.0026,5.4713,5.8704,5.9965,5.8777
2002,3,1.7867,1.666,1.6705,1.7374,2.207,2.6808,3.4527,4.0442,4.6886,5.3073,5.555,5.4761
2002,4,1.4348,1.3876,1.4249,1.4952,1.8972,2.3288,3.1042,3.736,4.4455,5.1433,5.4309,5.3542
2003,1,1.2906,1.2128,1.2119,1.2578,1.6602,2.1348,2.9616,3.6046,4.3104,5.0064,5.3093,5.2903
2003,2,1.156,1.1002,1.0949,1.1233,1.4257,1.8303,2.6043,3.2362,3.9421,4.6569,4.9938,5.0556
2003,3,1.0845,1.0549,1.0973,1.1809,1.6918,2.2373,3.152,3.8408,4.5745,5.2729,5.5621,5.5171
2003,4,1.0739,1.0817,1.1596,1.2745,1.8516,2.3975,3.2607,3.9032,4.5944,5.2621,5.5425,5.5013
2004,1,1.0737,1.0494,1.0953,1.1809,1.6761,2.1778,2.9948,3.6129,4.2876,4.9563,5.2541,5.2578
2004,2,1.2123,1.3753,1.5705,1.7702,2.468,2.9914,3.7484,4.2979,4.8857,5.4514,5.6878,5.6511
2004,3,1.6188,1.761,1.9117,2.0564,2.5407,2.9211,3.5271,4.0068,4.5555,5.1247,5.3867,5.3856
2004,4,2.1292,2.2724,2.3861,2.4868,2.8066,3.0585,3.4949,3.8881,4.385,4.926,5.1574,5.0553
2005,1,2.6765,2.8565,3.003,3.1247,3.4407,3.6189,3.8682,4.1019,4.4275,4.7899,4.91,4.6883
2005,2,3.0166,3.1825,3.31,3.4098,3.6271,3.7142,3.8335,3.9903,4.2501,4.5576,4.6541,4.4283
2005,3,3.563,3.6804,3.7658,3.8288,3.9427,3.9666,4.0029,4.0965,4.2822,4.5102,4.5661,4.3241
2005,4,4.1254,4.2304,4.2843,4.3151,4.3473,4.3399,4.3506,4.4225,4.5754,4.7646,4.8023,4.5604
2006,1,4.6602,4.6515,4.641,4.6292,4.5795,4.5388,4.5088,4.538,4.6319,4.7613,4.7692,4.4812
2006,2,5.0196,5.019,5.0139,5.0061,4.9627,4.9255,4.9139,4.9743,5.1155,5.2858,5.289,4.9301
2006,3,5.2323,5.1645,5.1039,5.0494,4.8876,4.7972,4.7527,4.802,4.9235,5.0677,5.0772,4.8099
2006,4,5.165,5.0643,4.977,4.9005,4.6846,4.5699,4.5079,4.5493,4.6617,4.8035,4.8313,4.6401
2007,1,5.1564,5.0662,4.9872,4.9175,4.7177,4.6101,4.554,4.5999,4.7196,4.8689,4.8929,4.6642
2007,2,5.1012,5.0345,4.9756,4.9234,4.7736,4.6963,4.6754,4.7442,4.8886,5.0562,5.0737,4.7949
2007,3,4.6948,4.6154,4.5504,4.4971,4.377,4.3558,4.4555,4.6171,4.8386,5.0341,5.043,4.8017
2007,4,3.8492,3.7444,3.6609,3.5949,3.4737,3.5047,3.7689,4.0859,4.4529,4.7194,4.7422,4.6095
2008,1,2.3674,2.2036,2.093,2.0215,2.0025,2.2028,2.783,3.3419,3.9803,4.5362,4.6618,4.3273
2008,2,1.8695,1.9389,2.0092,2.08,2.3661,2.6498,3.1833,3.647,4.1867,4.6949,4.8333,4.5303
2008,3,1.9454,1.9917,2.042,2.0956,2.335,2.5971,3.1258,3.6003,4.1473,4.625,4.7125,4.3592
2008,4,1.1899,1.0829,1.0124,0.9714,1.0443,1.3562,2.2333,3.0628,3.8926,4.2946,4.0839,3.3545
2009,1,0.531,0.5382,0.5594,0.5921,0.817,1.1389,1.8827,2.582,3.3615,3.929,3.9141,3.339
2009,2,0.2797,0.3701,0.4659,0.566,0.9962,1.4455,2.3039,3.0274,3.8038,4.4098,4.4943,4.127
2009,3,0.1111,0.2322,0.3583,0.488,1.0252,1.5585,2.5106,3.2482,3.9675,4.463,4.5356,4.3741
2009,4,0.0722,0.1687,0.2737,0.385,0.8725,1.3823,2.3287,3.0843,3.8429,4.4085,4.5482,4.496
2010,1,0.0797,0.1743,0.2802,0.3947,0.9086,1.4532,2.4611,3.2542,4.0382,4.6265,4.7982,4.818
2010,2,0.2301,0.2783,0.3469,0.4306,0.8666,1.368,2.3117,3.0458,3.7655,4.3255,4.5115,4.5368
2010,3,0.3107,0.2914,0.2933,0.3119,0.5159,0.8419,1.5918,2.2699,3.0135,3.6658,3.9338,4.1067
2010,4,0.3238,0.29,0.2796,0.2879,0.4651,0.7801,1.5398,2.2593,3.0982,3.9126,4.2842,4.5102
2011,1,0.2479,0.2351,0.258,0.3073,0.6784,1.1688,2.1291,2.8936,3.6856,4.4067,4.7303,4.8621
2011,2,0.172,0.1685,0.1913,0.2341,0.5466,0.9721,1.8585,2.6119,3.4225,4.1554,4.4757,4.66
2011,3,0.2164,0.183,0.1671,0.1657,0.2787,0.5176,1.1519,1.798,2.5904,3.3889,3.7641,4.0278
2011,4,0.1831,0.1631,0.156,0.1595,0.2619,0.4595,0.9778,1.5086,2.1646,2.8162,3.0921,3.2084
2012,1,0.2137,0.1967,0.1905,0.1933,0.2811,0.4562,0.9358,1.4537,2.1336,2.8645,3.1929,3.2979
2012,2,0.2457,0.232,0.2266,0.2283,0.2964,0.4363,0.8314,1.2738,1.8811,2.5836,2.936,3.0889
2012,3,0.2477,0.2285,0.2171,0.2125,0.2526,0.3634,0.7061,1.1099,1.6851,2.375,2.7264,2.8479
2012,4,0.2466,0.2285,0.2182,0.2145,0.2582,0.3729,0.725,1.1411,1.7379,2.4615,2.8351,2.9681
2013,1,0.2126,0.1942,0.1856,0.1851,0.2545,0.4071,0.8456,1.3379,2.0103,2.7737,3.1401,3.2682
